kind,status,is_active,status_label,relevance_score,title,title_en,organization,supplier,amount,contract_value,budget_amount,currency,currency_code,budget_scope,cpv,special_number,publication_date,contract_date,deadline,url,query,source
tender,closed,False,Closed,155,"Модернизиране и адаптиране на основната информационна система на АЗ „Национална база данни” /ИС „НБД”/ към динамична интегрирана дигитална среда с оглед „отваряне“ на системата за развитие, обмен и взаимодействие с други електронни системи, платформи и софтуерни приложения",,АГЕНЦИЯ ПО ЗАЕТОСТТА,,4966000.0,,4966000.0,3,BGN,Estimated value: 4 966 000 BGN,72200000,00311-2024-0005,2024-02-16T07:52:53.106000+00:00,,2024-03-19T19:59:00+00:00,https://app.eop.bg/today/tenders/350876,72200000,advanced_tenders_cpv
tender,closed,False,Closed,145,"„Дигитализация на административните процеси в учебната дейност на Медицински университет - Плевен чрез надграждане, внедряване и поддръжка на съществуващата информационна система с нови електронни услуги за студенти, преподаватели и администрация“",,МЕДИЦИНСКИ УНИВЕРСИТЕТ,,600000.0,,600000.0,1,EUR,Estimated value: 600 000 EUR,72000000,00282-2026-0020,2026-08-03T02:12:26.150000+00:00,,2026-09-04T17:59:59+00:00,https://app.eop.bg/today/tenders/599568,72000000,advanced_tenders_cpv
tender,closed,False,Closed,144,"Разработка, доставка и въвеждане в експлоатация на система за управление и администриране на сделки с електроенергия",,АЕЦ КОЗЛОДУЙ ЕАД,,195000.0,,195000.0,1,EUR,Estimated value: 195 000 EUR,72000000,00353-2026-0090,2026-04-24T07:57:05.143000+00:00,,2026-05-18T17:59:59+00:00,https://app.eop.bg/today/tenders/571823,72000000,advanced_tenders_cpv
tender,closed,False,Closed,144,"Доставка на дигитална платформа за система с QR кодове за проследяване на риболовен улов за нуждите на рибарско пристанище, гр. Черноморец",,ОБЩИНА СОЗОПОЛ,,76693.78,,76693.78,1,EUR,Estimated value: 76 693.78 EUR,48000000,00568-2026-0004,2026-01-23T09:11:22.226000+00:00,,2026-02-12T19:59:59+00:00,https://app.eop.bg/today/tenders/553024,48000000,advanced_tenders_cpv
tender,closed,False,Closed,144,„Надграждане на портала за електронни услуги на Прокуратурата на Република България“,,ПРОКУРАТУРА НА РЕПУБЛИКА БЪЛГАРИЯ - ГЛАВЕН ПРОКУРОР,,117597.13,,117597.13,1,EUR,Estimated value: 117 597.13 EUR,72200000,02538-2026-0003,2026-01-21T10:00:45.780000+00:00,,2026-02-17T19:59:59+00:00,https://app.eop.bg/today/tenders/536574,72200000,advanced_tenders_cpv
tender,closed,False,Closed,140,"„Изграждане и поддръжка на модерна, сигурна и достъпна официална интернет страница на АЗ с внедрен „виртуален трудов асистент“, позволяващ консултиране и информиране на гражданите, разработване и внедряване на Уеб приложение „Онлайн портал”, включващо и разработване и внедряване на нови и/или усъвършенствани електронни услуги“",,АГЕНЦИЯ ПО ЗАЕТОСТТА,,5605666.0,,5605666.0,3,BGN,Estimated value: 5 605 666 BGN,72000000,00311-2025-0021,2025-07-08T06:51:08.466000+00:00,,2025-08-04T17:59:59+00:00,https://app.eop.bg/today/tenders/476772,72000000,advanced_tenders_cpv
tender,closed,False,Closed,140,„Експлоатационна поддръжка и надграждане на интеграционната платформа за електронна община на Община Велико Търново (Платформа eCity)”,,ОБЩИНА ВЕЛИКО ТЪРНОВО,,144000.0,,144000.0,3,BGN,Estimated value: 144 000 BGN,72200000,00073-2023-0033,2023-05-04T14:00:46.443000+00:00,,2023-05-05T17:59:00+00:00,https://app.eop.bg/today/tenders/297515,72200000,advanced_tenders_cpv
tender,closed,False,Closed,140,„Експлоатационна поддръжка и надграждане на интеграционната платформа за електронна община на Община Велико Търново (Платформа eCity)”,,ОБЩИНА ВЕЛИКО ТЪРНОВО,,144000.0,,144000.0,3,BGN,Estimated value: 144 000 BGN,72200000,00073-2022-0026,2022-04-29T15:00:17.333000+00:00,,2022-05-03T17:59:00+00:00,https://app.eop.bg/today/tenders/208202,72200000,advanced_tenders_cpv
tender,closed,False,Closed,133,"„Предоставяне на лицензни права за използване на специализиран софтуер, следгаранционна поддръжка и осигуряване на услуги по дигитално таксуване за Интегрираната електронна система за електронно таксуване на пътниците (ИЕСТП) в обществения транспорт на Община Враца“",,ОБЩИНА ВРАЦА,,385877.0,,385877.0,1,EUR,Estimated value: 385 877 EUR,72200000,00814-2026-0042,2026-09-04T12:09:37.843000+00:00,,2026-09-14T17:59:59+00:00,https://app.eop.bg/today/tenders/605272,72200000,advanced_tenders_cpv
tender,closed,False,Closed,133,„Подновяване на лиценз за комплексно решение за защита на крайни точки на УНСС“,,УНИВЕРСИТЕТ ЗА НАЦИОНАЛНО И СВЕТОВНО СТОПАНСТВО,,156000.0,,156000.0,1,EUR,Estimated value: 156 000 EUR,72000000,00062-2026-0025,2026-04-02T02:12:59.443000+00:00,,2026-05-04T17:59:59+00:00,https://app.eop.bg/today/tenders/564798,72000000,advanced_tenders_cpv
